12	7	6																						
0	0	0	0	0	0	0																		
0	1	1	2	1	1	0																		
0	1	1	1	1	1	0																		
0	1	0	11	0	1	0																		
0	12	1	1	1	13	0																		
0	1	1	1	1	1	0																		
0	14	1	1	1	15	0																		
0	1	0	10	0	1	0																		
0	1	1	1	1	1	0																		
0	1	1	3	1	1	0																		
0	1	1	1	1	1	0																		
0	0	0	0	0	0	0																		
3																								
0	2	10	11																					
0	2	12	13																					
0	2	15	14																					
								
