16	15	32																						
																								
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										
0	2	1	1	18	1	1	23	0	0	0	24	1	1	0										
0	0	10	0	1	0	0	1	1	1	0	1	0	1	0										
0	0	1	0	1	0	21	22	0	26	1	25	0	0	0										
0	1	1	0	1	0	1	0	0	0	1	0	0	29	0										
0	0	1	0	19	1	20	0	27	1	1	1	28	1	0										
0	0	11	0	0	0	0	0	0	0	1	0	0	1	0										
0	12	1	13	0	34	1	35	0	0	1	0	0	1	0										
0	1	0	1	0	1	0	1	1	1	31	1	1	30	0										
0	15	1	14	0	33	1	32	0	1	0	0	1	0	0										
0	0	1	0	0	1	0	0	0	0	0	0	1	0	0										
0	0	1	0	0	1	0	0	0	0	0	36	1	37	0										
0	16	1	1	1	1	1	1	17	0	0	38	1	39	0										
0	0	1	0	0	0	0	0	1	0	0	40	1	41	0										
0	0	1	1	1	0	1	1	1	0	0	1	3	1	0										
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										
																								
15																								
2	10	11																						
4	12	13	14	15																				
4	14	15	12	13																				
2	16	17																						
6	18	19	20	21	22	23																		
6	21	22	23	18	19	20																		
4	26	25	24	25																				
2	27	28																						
2	29	30																						
4	32	33	34	35																				
4	34	35	32	33																				
2	30	31																						
2	36	37																						
2	39	38																						
2	40	41																						
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
